EventID	TrackID	TotalTrackLength_mm	FinalVolume
0	1	37.349	Pb2
0	2	16.130	Pb2
0	3	35.643	Pb2
0	4	1.491	Pb2
0	5	15.830	Pb2
0	6	16.957	Pb2
0	7	25.939	Pb2
0	8	24.116	Pb2
0	9	9.913	Pb2
0	10	31.733	Pb2
0	11	10.482	Pb2
0	12	4.459	Pb2
0	13	18.270	Pb2
0	14	23.092	Pb2
0	15	60.845	Pb2
0	16	42.651	Pb2
0	17	13.653	Pb2
0	18	6.425	Pb2
0	19	41.647	Pb2
0	20	43.571	Pb2
0	21	13.551	Pb2
0	22	27.972	Pb2
0	23	1.896	Pb2
0	24	35.240	Pb2
0	25	10.547	Pb2
0	26	35.887	Pb2
0	27	46.525	Pb2
0	28	18.929	Pb2
0	29	35.001	Pb2
0	30	21.216	Pb2
0	31	14.169	Pb2
0	32	11.507	Pb2
0	33	53.566	Pb2
0	34	41.423	Pb2
0	35	19.237	Pb2
0	36	62.420	Pb2
0	37	14.178	Pb2
0	38	22.550	Pb2
0	39	6.804	Pb2
0	40	50.132	Pb2
0	41	16.820	Pb2
0	42	15.879	Pb2
0	43	23.335	Pb2
0	44	11.896	Pb2
0	45	19.524	Pb2
0	46	14.648	Pb2
0	47	29.512	Pb2
0	48	13.386	Pb2
0	49	109.638	Pb2
0	50	10.002	Pb2
0	51	18.556	Pb2
0	52	46.357	Pb2
0	53	94.324	Pb2
0	54	3.361	Pb2
0	55	18.417	Pb2
0	56	16.592	Pb2
0	57	62.024	Pb2
0	58	35.575	Pb2
0	59	11.253	Pb2
0	60	38.408	Pb2
0	61	55.474	Pb2
0	62	13.547	Pb2
0	63	56.197	Pb2
0	64	0.268	Unknown
0	65	45.339	Pb2
0	66	18.918	Pb2
0	67	22.892	Pb2
0	68	12.834	Pb2
0	69	49.152	Pb2
0	70	28.772	Pb2
0	71	37.550	Pb2
0	72	12.598	Pb2
0	73	44.673	Pb2
0	74	12.707	Pb2
0	75	2.254	Pb2
0	76	10.454	Pb2
0	77	20.961	Pb2
0	78	30.541	Pb2
0	79	40.835	Pb2
0	80	20.067	Pb2
0	81	53.952	Pb2
0	82	17.101	Pb2
0	83	8.953	Pb2
0	84	13.233	Pb2
0	85	6.446	Pb2
0	86	2.020	Pb2
0	87	15.807	Pb2
0	88	4.291	Pb2
0	89	21.620	Pb2
0	90	5.427	Pb2
0	91	111.604	Pb2
0	92	48.398	Pb2
0	93	3.701	Pb2
0	94	29.132	Pb2
0	95	17.695	Pb2
0	96	37.834	Pb2
0	97	30.018	Pb2
0	98	36.645	Pb2
0	99	12.171	Pb2
0	100	116.802	Pb2
0	101	23.821	Pb2
0	102	10.066	Pb2
0	103	48.078	Pb2
0	104	44.077	Pb2
0	105	1.327	Pb2
0	106	26.852	Pb2
0	107	27.730	Pb2
0	108	9.306	Pb2
0	109	14.851	Pb2
0	110	45.953	Pb2
0	111	3.640	Pb2
0	112	14.142	Pb2
0	113	2.203	Pb2
0	114	38.511	Pb2
0	115	12.929	Pb2
0	116	1.090	Pb2
0	117	30.444	Pb2
0	118	13.792	Pb2
0	119	22.753	Pb2
0	120	52.735	Pb2
0	121	3.070	Pb2
0	122	27.126	Pb2
0	123	19.208	Pb2
0	124	9.825	Pb2
0	125	4.824	Pb2
0	126	9.983	Pb2
0	127	72.932	Pb2
0	128	18.536	Pb2
0	129	66.625	Pb2
0	130	9.247	Pb2
0	131	7.301	Pb2
0	132	86.495	Pb2
0	133	29.186	Pb2
0	134	7.424	Pb2
0	135	46.557	Pb2
0	136	68.996	Pb2
0	137	6.449	Pb2
0	138	40.551	Pb2
0	139	23.723	Pb2
0	140	9.898	Pb2
0	141	23.632	Pb2
0	142	5.609	Pb2
0	143	1.384	Pb2
0	144	34.825	Pb2
0	145	11.375	Pb2
0	146	66.775	Pb2
0	147	9.564	Pb2
0	148	34.335	Pb2
0	149	14.126	Pb2
0	150	26.673	Pb2
0	151	44.223	Pb2
0	152	26.426	Pb2
0	153	120.757	Pb2
0	154	40.486	Pb2
0	155	3.518	Pb2
0	156	13.282	Pb2
0	157	7.615	Pb2
0	158	21.272	Pb2
0	159	20.547	Pb2
0	160	91.635	Pb2
0	161	15.291	Pb2
0	162	24.375	Pb2
0	163	26.932	Pb2
0	164	27.156	Pb2
0	165	21.387	Pb2
0	166	13.599	Pb2
0	167	39.518	Pb2
0	168	6.268	Pb2
0	169	15.557	Pb2
0	170	37.548	Pb2
0	171	3.803	Pb2
0	172	15.238	Pb2
0	173	18.602	Pb2
0	174	8.945	Pb2
0	175	28.113	Pb2
0	176	11.964	Pb2
0	177	43.037	Pb2
0	178	42.126	Pb2
0	179	8.133	Pb2
0	180	10.694	Pb2
0	181	9.773	Pb2
0	182	16.786	Pb2
0	183	116.880	Pb2
0	184	21.130	Pb2
0	185	31.723	Pb2
0	186	2.210	Pb2
0	187	36.702	Pb2
0	188	36.944	Pb2
0	189	4.101	Pb2
0	190	21.724	Pb2
0	191	7.594	Pb2
0	192	2.110	Pb2
0	193	28.844	Pb2
0	194	11.455	Pb2
0	195	8.851	Pb2
0	196	19.897	Pb2
0	197	29.792	Pb2
0	198	11.841	Pb2
