EventID	TrackID	TotalTrackLength_mm	FinalVolume
0	1	52.322	Pb2
0	2	32.480	Pb2
0	3	65.147	Pb2
0	4	56.080	Pb2
0	5	77.190	Pb2
0	6	67.128	Pb2
0	7	34.281	Pb2
0	8	95.928	Pb2
0	9	22.147	Pb2
0	10	23.439	Pb2
0	11	5.685	Pb2
0	12	10.906	Pb2
0	13	8.176	Pb2
0	14	56.823	Pb2
0	15	68.806	Pb2
0	16	31.140	Pb2
0	17	40.352	Pb2
0	18	7.155	Pb2
0	19	34.893	Pb2
0	20	13.178	Pb2
0	21	33.436	Pb2
0	22	28.914	Pb2
0	23	30.780	Pb2
0	24	31.269	Pb2
0	25	19.589	Pb2
0	26	37.540	Pb2
0	27	4.767	Pb2
0	28	18.183	Pb2
0	29	15.973	Pb2
0	30	23.223	Pb2
0	31	11.435	Pb2
0	32	23.726	Pb2
0	33	33.804	Pb2
0	34	47.064	Pb2
0	35	16.820	Pb2
0	36	53.911	Pb2
0	37	35.614	Pb2
0	38	49.565	Pb2
0	39	28.075	Pb2
0	40	41.584	Pb2
0	41	6.015	Pb2
0	42	55.084	Pb2
0	43	97.280	Pb2
0	44	15.992	Pb2
0	45	71.949	Pb2
0	46	13.322	Pb2
0	47	22.641	Pb2
0	48	4.051	Pb2
0	49	9.564	Pb2
0	50	20.302	Pb2
0	51	29.961	Pb2
0	52	63.102	Pb2
0	53	1.061	Pb2
0	54	10.038	Pb2
0	55	19.049	Pb2
0	56	15.101	Pb2
0	57	3.903	Pb2
0	58	4.413	Pb2
0	59	23.895	Pb2
0	60	22.721	Pb2
0	61	20.198	Pb2
0	62	47.403	Pb2
0	63	14.641	Pb2
0	64	6.856	Pb2
0	65	100.478	Pb2
0	66	44.045	Pb2
0	67	42.762	Pb2
0	68	14.678	Pb2
0	69	14.993	Pb2
0	70	50.382	Pb2
0	71	10.468	Pb2
0	72	6.117	Pb2
0	73	14.326	Pb2
0	74	42.377	Pb2
0	75	6.710	Pb2
0	76	44.617	Pb2
0	77	32.306	Pb2
0	78	20.542	Pb2
0	79	10.293	Pb2
0	80	14.482	Pb2
0	81	19.978	Pb2
0	82	4.312	Pb2
0	83	40.270	Pb2
0	84	20.275	Pb2
0	85	33.616	Pb2
0	86	58.184	Pb2
0	87	31.184	Pb2
0	88	12.309	Pb2
0	89	25.439	Pb2
0	90	0.303	Unknown
0	91	4.125	Pb2
0	92	3.102	Pb2
0	93	5.884	Pb2
0	94	57.435	Pb2
0	95	11.930	Pb2
0	96	3.982	Pb2
0	97	3.048	Pb2
0	98	22.901	Pb2
0	99	33.071	Pb2
0	100	0.036	Pb2
0	101	35.826	Pb2
0	102	26.945	Pb2
0	103	75.227	Pb2
0	104	9.744	Pb2
0	105	41.092	Pb2
0	106	107.727	Pb2
0	107	42.952	Pb2
0	108	56.985	Pb2
0	109	31.411	Pb2
0	110	19.884	Pb2
0	111	4.229	Pb2
0	112	37.952	Pb2
0	113	41.869	Pb2
0	114	17.393	Pb2
0	115	25.717	Pb2
0	116	31.714	Pb2
0	117	25.586	Pb2
0	118	24.279	Pb2
0	119	12.588	Pb2
0	120	2.730	Pb2
0	121	23.655	Pb2
0	122	3.498	Pb2
0	123	15.104	Pb2
0	124	16.346	Pb2
0	125	4.424	Pb2
0	126	60.690	Pb2
0	127	62.787	Pb2
0	128	33.648	Pb2
0	129	24.748	Pb2
0	130	14.522	Pb2
0	131	24.264	Pb2
0	132	28.348	Pb2
0	133	38.197	Pb2
0	134	5.993	Pb2
0	135	17.604	Pb2
0	136	16.273	Pb2
0	137	28.488	Pb2
0	138	25.701	Pb2
0	139	57.289	Pb2
0	140	16.156	Pb2
0	141	0.713	Pb2
0	142	53.015	Pb2
0	143	10.322	Pb2
0	144	59.835	Pb2
0	145	10.740	Pb2
0	146	39.489	Pb2
0	147	47.918	Pb2
0	148	27.488	Pb2
0	149	58.999	Pb2
0	150	2.100	Pb2
0	151	30.475	Pb2
0	152	12.767	Pb2
0	153	70.604	Pb2
0	154	4.172	Pb2
0	155	54.666	Pb2
0	156	5.324	Pb2
0	157	18.004	Pb2
0	158	14.485	Pb2
0	159	43.647	Pb2
0	160	10.531	Pb2
0	161	10.486	Pb2
0	162	21.136	Pb2
0	163	25.212	Pb2
0	164	26.199	Pb2
0	165	18.483	Pb2
0	166	50.866	Pb2
0	167	6.182	Pb2
0	168	13.392	Pb2
0	169	27.138	Pb2
0	170	42.086	Pb2
0	171	93.207	Pb2
0	172	6.950	Pb2
0	173	14.807	Pb2
0	174	10.212	Pb2
0	175	15.557	Pb2
0	176	38.081	Pb2
0	177	46.103	Pb2
0	178	15.995	Pb2
0	179	59.916	Pb2
0	180	14.083	Pb2
0	181	36.692	Pb2
0	182	11.938	Pb2
0	183	12.773	Pb2
0	184	17.225	Pb2
0	185	7.167	Pb2
0	186	23.335	Pb2
0	187	17.931	Pb2
0	188	60.987	Pb2
0	189	26.560	Pb2
0	190	22.847	Pb2
0	191	77.299	Pb2
0	192	78.908	Pb2
0	193	51.163	Pb2
0	194	68.998	Pb2
0	195	13.967	Pb2
0	196	14.943	Pb2
0	197	40.806	Pb2
0	198	15.371	Pb2
0	199	9.912	Pb2
0	200	23.255	Pb2
0	201	5.155	Pb2
0	202	50.720	Pb2
0	203	6.637	Pb2
0	204	2.764	Pb2
0	205	10.990	Pb2
0	206	97.376	Pb2
0	207	45.411	Pb2
0	208	6.343	Pb2
0	209	55.011	Pb2
0	210	20.996	Pb2
0	211	11.032	Pb2
0	212	6.315	Pb2
0	213	33.791	Pb2
0	214	22.868	Pb2
0	215	36.722	Pb2
0	216	30.328	Pb2
0	217	98.509	Pb2
0	218	62.551	Pb2
0	219	30.402	Pb2
0	220	6.299	Pb2
0	221	8.524	Pb2
0	222	62.443	Pb2
0	223	28.517	Pb2
0	224	8.242	Pb2
0	225	162.483	Pb2
0	226	66.668	Pb2
0	227	78.564	Pb2
0	228	38.030	Pb2
0	229	37.897	Pb2
0	230	39.774	Pb2
0	231	54.157	Pb2
0	232	29.196	Pb2
0	233	0.052	Pb2
0	234	52.377	Pb2
0	235	7.005	Pb2
0	236	26.921	Pb2
0	237	63.069	Pb2
0	238	6.077	Unknown
0	239	45.703	Pb2
0	240	11.264	Pb2
0	241	28.348	Pb2
0	242	20.114	Pb2
0	243	61.577	Pb2
0	244	2.964	Unknown
0	245	18.899	Pb2
0	246	36.982	Pb2
0	247	37.753	Pb2
0	248	6.695	Pb2
0	249	83.693	Pb2
0	250	78.343	Pb2
0	251	48.424	Pb2
0	252	29.968	Pb2
0	253	9.790	Pb2
0	254	34.504	Pb2
0	255	10.741	Pb2
0	256	15.159	Pb2
0	257	12.438	Pb2
0	258	56.181	Pb2
0	259	2.513	Pb2
0	260	8.588	Pb2
0	261	42.200	Pb2
0	262	10.058	Unknown
0	263	33.870	Pb2
0	264	15.297	Pb2
0	265	28.757	Pb2
0	266	31.223	Pb2
0	267	9.883	Pb2
0	268	4.119	Pb2
0	269	72.838	Pb2
0	270	43.588	Pb2
0	271	25.918	Pb2
0	272	14.649	Pb2
0	273	47.591	Pb2
0	274	49.170	Pb2
0	275	6.885	Pb2
0	276	115.450	Pb2
0	277	57.973	Pb2
0	278	9.883	Pb2
0	279	29.597	Pb2
0	280	32.138	Pb2
0	281	7.286	Pb2
0	282	0.023	Pb2
0	283	9.938	Pb2
0	284	45.275	Pb2
0	285	39.107	Pb2
0	286	7.250	Pb2
0	287	41.786	Pb2
0	288	3.750	Pb2
0	289	18.660	Pb2
0	290	46.249	Pb2
0	291	21.904	Pb2
0	292	13.987	Pb2
0	293	38.617	Pb2
0	294	14.277	Pb2
0	295	9.011	Pb2
0	296	6.546	Pb2
0	297	109.902	Pb2
0	298	7.020	Pb2
0	299	130.720	Pb2
0	300	2.612	Pb2
0	301	6.477	Pb2
0	302	13.405	Pb2
0	303	23.123	Pb2
0	304	12.968	Pb2
0	305	116.271	Pb2
0	306	7.967	Pb2
0	307	79.648	Pb2
0	308	85.110	Pb2
0	309	30.365	Pb2
0	310	5.853	Pb2
0	311	10.219	Pb2
0	312	8.760	Pb2
0	313	28.086	Pb2
0	314	79.993	Pb2
0	315	33.751	Pb2
0	316	3.995	Pb2
0	317	15.701	Pb2
0	318	22.675	Pb2
0	319	32.325	Pb2
0	320	7.849	Pb2
0	321	2.526	Pb2
0	322	49.336	Pb2
0	323	11.127	Pb2
0	324	16.904	Pb2
0	325	48.530	Pb2
0	326	18.968	Pb2
0	327	42.308	Pb2
0	328	20.806	Pb2
0	329	27.551	Pb2
0	330	33.003	Pb2
0	331	39.954	Pb2
0	332	9.215	Pb2
0	333	8.052	Pb2
0	334	76.347	Pb2
0	335	10.424	Pb2
0	336	15.382	Pb2
0	337	21.067	Pb2
0	338	17.713	Pb2
0	339	7.339	Pb2
0	340	18.900	Pb2
0	341	42.935	Pb2
0	342	21.480	Pb2
0	343	21.310	Pb2
0	344	24.953	Pb2
0	345	8.825	Pb2
0	346	2.208	Pb2
0	347	11.105	Pb2
0	348	43.962	Pb2
0	349	50.147	Pb2
0	350	51.749	Pb2
0	351	2.557	Pb2
0	352	14.044	Pb2
0	353	91.780	Pb2
0	354	11.289	Pb2
0	355	37.424	Pb2
0	356	9.647	Pb2
0	357	18.091	Pb2
0	358	22.749	Pb2
0	359	13.110	Pb2
0	360	25.447	Pb2
0	361	14.152	Pb2
0	362	9.240	Pb2
0	363	14.841	Pb2
0	364	60.471	Pb2
0	365	18.335	Pb2
0	366	44.478	Pb2
0	367	31.976	Pb2
0	368	28.750	Pb2
0	369	60.929	Pb2
0	370	25.853	Pb2
0	371	6.846	Pb2
0	372	38.839	Pb2
0	373	43.230	Pb2
0	374	32.247	Pb2
0	375	5.934	Pb2
0	376	13.240	Pb2
0	377	8.225	Pb2
0	378	2.620	Pb2
0	379	10.605	Pb2
0	380	72.432	Pb2
0	381	146.478	Pb2
0	382	51.300	Pb2
0	383	50.710	Pb2
0	384	36.864	Pb2
0	385	0.952	Unknown
0	386	43.744	Pb2
0	387	58.029	Pb2
0	388	2.612	Unknown
0	389	16.669	Pb2
0	390	21.401	Pb2
0	391	1.608	Pb2
0	392	65.355	Pb2
0	393	15.847	Pb2
0	394	20.121	Pb2
0	395	24.264	Pb2
0	396	12.395	Pb2
0	397	16.804	Pb2
0	398	16.010	Pb2
0	399	28.603	Pb2
0	400	16.702	Pb2
0	401	176.330	Pb2
0	402	14.527	Pb2
0	403	10.726	Pb2
0	404	39.520	Pb2
0	405	30.423	Pb2
0	406	14.078	Pb2
0	407	60.812	Pb2
0	408	21.679	Pb2
0	409	30.626	Pb2
0	410	8.083	Pb2
0	411	65.101	Pb2
0	412	11.986	Pb2
0	413	0.968	Unknown
0	414	7.294	Pb2
0	415	38.993	Pb2
0	416	61.009	Pb2
0	417	7.637	Pb2
0	418	27.531	Pb2
0	419	7.481	Pb2
0	420	14.739	Pb2
0	421	18.572	Pb2
0	422	26.425	Pb2
0	423	19.538	Pb2
0	424	1.492	Pb2
0	425	4.209	Unknown
0	426	38.710	Pb2
0	427	10.327	Pb2
0	428	58.033	Pb2
0	429	45.783	Pb2
0	430	40.761	Pb2
0	431	22.818	Pb2
0	432	30.568	Pb2
0	433	34.367	Pb2
0	434	22.092	Pb2
0	435	16.936	Pb2
0	436	12.444	Pb2
0	437	46.679	Pb2
0	438	20.326	Pb2
0	439	33.943	Pb2
0	440	22.204	Pb2
0	441	20.027	Pb2
0	442	4.611	Pb2
0	443	21.407	Pb2
